,Proportion of non-white character mentions,Proportion of non-white character dialogue,Burstiness of most frequent character,Min burstiness non-white character,Min burstiness white character,Dataset,Author race,Most frequent character race,Most frequent character gender,Most frequent character POV,Hollyhock recurrence,AP recurrence,Different main character race in book,Book
169,0.0,0.0,0.4189988530302077,inf,0.4189988530302077,Both,White,White*,M,Third person,6,2,False,metamorphosis - kafka
170,1.0,1.0,0.28282258742154737,0.28282258742154737,inf,Teachers Only,Non-white,Black,F,First person,1,0,False,men we reaped - ward
171,0.0,0.0,0.7286744538312332,inf,0.7146574274979679,AP Only,White,White*,F,Third person,0,3,False,memory keeper s daughter - edwards
172,0.22426889479680973,0.36095764272559855,0.24290799938799618,0.6288832330884767,0.24290799938799618,AP Only,White,White*,F,Third person,0,1,True,member of the wedding - mccullers
173,0.0,0.0,0.5190588466737867,inf,0.5053315967840685,AP Only,White,White*,M,Third person,0,8,False,mayor of casterbridge - hardy
174,1.0,1.0,0.38060558942965733,0.38060558942965733,inf,Teachers Only,Non-white,Native/Indigenous,M,First person,1,0,False,marrow thieves - dimaline
175,0.0,0.0,0.5703771542418996,inf,0.5703771542418996,AP Only,White,White*,F,Third person,0,3,False,mansfield park - austen
176,1.0,1.0,0.6540739173116527,0.5981499385054634,inf,AP Only,Non-white,Black,F,Third person,0,1,False,mama day - naylor
177,0.0,0.0,0.44805304465149975,inf,0.44805304465149975,AP Only,White,White*,F,Third person,0,1,False,main street - lewis
178,0.0,0.0,0.6832436710502864,inf,0.566368885212661,AP Only,White,White*,M,Third person,0,1,False,maggie a girl of the streets - crane
179,0.0,0.0,0.5859211181734065,inf,0.45978844296228893,AP Only,White,White*,F,Third person,0,7,False,madame bovary - flaubert
180,1.0,1.0,0.8664262889114042,0.7682914690086521,inf,Teachers Only,Non-white,Native/Indigenous,F,First person,2,0,False,love medicine - erdrich
181,0.0,0.0,0.48010410596112557,inf,0.48010410596112557,Both,White,White*,M,Third person,14,2,False,lord of the flies - golding
182,0.0,0.0,0.5112149386099716,inf,0.5112149386099716,AP Only,White,White*,M,First person,0,3,False,lord jim - conrad
183,0.0,0.0,0.5548077898036778,inf,0.5548077898036778,AP Only,White,White*,M,Third person,0,1,False,look homeward angel - wolfe
184,1.0,1.0,0.41897647011805494,0.41897647011805494,inf,Teachers Only,Non-white,Black,M,First person,1,0,False,long way gone - beah
185,0.0,0.0,0.19894460781699808,inf,0.19894460781699808,AP Only,White,White*,M,First person,0,1,False,lolita - nabokov
186,0.0,0.0,0.6316155657446831,inf,0.6155669673749607,AP Only,White,White*,F,Third person,0,1,False,little women - alcott
187,1.0,1.0,0.7277501098850494,0.6940566272235097,inf,AP Only,Non-white,Black,M,Third person,0,1,False,linden hills - naylor
188,1.0,1.0,0.4375216411412935,0.4375216411412935,inf,Teachers Only,Non-white,Latinx,F,Third person,4,0,False,like water for chocolate - esquivel
189,0.3693822739480752,0.2588996763754045,0.8818327822269376,0.7485638913743616,0.8676427103476702,AP Only,White,White*,M,Third person,0,6,True,light in august - faulkner
190,0.818808129521185,0.8029197080291971,0.5268353461945718,0.5268353461945718,inf,Teachers Only,White,AAPI,M,First person,1,0,False,life of pi - martel
